ModelName,BERTScore Precision (Mean),BERTScore Recall (Mean),BERTScore F1
paper_llama2_70b,0.85,0.83,0.84
paper_llama2_70b,0.84,0.85,0.85
paper_llama2_70b,0.85,0.85,0.85
paper_llama2_70b,0.82,0.87,0.84
paper_llama2_70b,0.86,0.84,0.85
paper_llama2_70b,0.86,0.86,0.86
paper_llama2_70b,0.81,0.84,0.82
paper_llama2_70b,0.84,0.92,0.88
paper_llama2_70b,0.82,0.83,0.82
paper_llama2_70b,0.83,0.83,0.83
paper_llama2_70b,0.85,0.83,0.84
paper_llama2_70b,0.84,0.86,0.85
paper_llama2_70b,0.84,0.83,0.84
paper_llama2_70b,0.82,0.83,0.83
paper_llama2_70b,0.82,0.81,0.82
paper_llama2_70b,0.84,0.86,0.85
paper_llama2_70b,0.82,0.85,0.83
paper_llama2_70b,0.82,0.86,0.84
paper_llama2_70b,0.87,0.83,0.85
paper_llama2_70b,0.77,0.82,0.8
paper_llama2_70b,0.86,0.87,0.86
paper_llama2_70b,0.81,0.85,0.83
paper_llama2_70b,0.82,0.86,0.84
paper_llama2_70b,0.85,0.9,0.87
paper_llama2_70b,0.85,0.86,0.86
paper_llama2_70b,0.8,0.85,0.82
paper_llama2_70b,0.86,0.84,0.85
paper_llama2_70b,0.84,0.84,0.84
paper_llama2_70b,0.83,0.82,0.83
paper_llama2_70b,0.85,0.89,0.87
paper_llama2_70b,0.82,0.85,0.83
paper_llama2_70b,0.84,0.83,0.84
paper_llama2_70b,0.84,0.87,0.85
paper_llama2_70b,0.85,0.84,0.85
paper_llama2_70b,0.85,0.85,0.85
paper_llama2_70b,0.86,0.87,0.86
paper_llama2_70b,0.79,0.86,0.83
paper_llama2_70b,0.84,0.85,0.85
paper_llama2_70b,0.85,0.85,0.85
paper_llama2_70b,0.82,0.87,0.84
paper_llama2_70b,0.83,0.86,0.85
paper_llama2_70b,0.86,0.84,0.85
paper_llama2_70b,0.85,0.86,0.85
paper_llama2_70b,0.84,0.84,0.84
paper_llama2_70b,0.79,0.85,0.82
paper_llama2_70b,0.86,0.87,0.86
paper_llama2_70b,0.83,0.84,0.84
paper_llama2_70b,0.83,0.83,0.83
paper_llama2_70b,0.87,0.82,0.84
paper_llama2_70b,0.82,0.84,0.83
paper_llama2_70b,0.87,0.85,0.86
paper_llama2_70b,0.85,0.82,0.84
paper_llama2_70b,0.84,0.83,0.84
paper_llama2_70b,0.89,0.93,0.91
paper_llama2_70b,0.82,0.85,0.83
paper_llama2_70b,0.84,0.85,0.84
paper_llama2_70b,0.85,0.84,0.84
paper_llama2_70b,0.8,0.83,0.82
paper_llama2_70b,0.86,0.82,0.84
paper_llama2_70b,0.85,0.86,0.85
paper_llama2_70b,0.85,0.86,0.86
paper_llama2_70b,0.84,0.87,0.85
paper_llama2_70b,0.87,0.85,0.86
paper_llama2_70b,0.86,0.88,0.87
paper_llama2_70b,0.84,0.88,0.86
paper_llama2_70b,0.82,0.85,0.84
paper_llama2_70b,0.79,0.81,0.8
paper_llama2_70b,0.83,0.83,0.83
paper_llama2_70b,0.82,0.81,0.82
paper_llama2_70b,0.85,0.83,0.84
paper_llama2_70b,0.81,0.84,0.83
paper_llama2_70b,0.86,0.85,0.86
paper_llama2_70b,0.83,0.84,0.84
paper_llama2_70b,0.85,0.84,0.85
paper_llama2_70b,0.83,0.85,0.84
paper_llama2_70b,0.81,0.78,0.8
paper_llama2_70b,0.82,0.82,0.82
paper_llama2_70b,0.81,0.84,0.83
paper_llama2_70b,0.82,0.85,0.83
paper_llama2_70b,0.84,0.86,0.85
paper_llama2_70b,0.86,0.86,0.86
paper_llama2_70b,0.83,0.82,0.82
paper_llama2_70b,0.8,0.85,0.82
paper_llama2_70b,0.83,0.85,0.84
paper_llama2_70b,0.85,0.85,0.85
paper_llama2_70b,0.83,0.8,0.81
paper_llama2_70b,0.85,0.89,0.87
paper_llama2_70b,0.82,0.83,0.82
paper_llama2_70b,0.82,0.86,0.84
paper_llama2_70b,0.83,0.84,0.84
paper_llama2_70b,0.86,0.86,0.86
paper_llama2_70b,0.84,0.86,0.85
paper_llama2_70b,0.83,0.87,0.85
paper_llama2_70b,0.86,0.87,0.86
paper_llama2_70b,0.83,0.82,0.83
paper_llama2_70b,0.85,0.84,0.84
paper_llama2_70b,0.86,0.88,0.87
paper_llama2_70b,0.84,0.87,0.86
paper_llama2_70b,0.88,0.86,0.87
paper_llama2_70b,0.82,0.8,0.81
paper_llama2_70b,0.82,0.81,0.82
paper_llama2_70b,0.77,0.83,0.8
paper_llama2_70b,0.85,0.87,0.86
paper_llama2_70b,0.84,0.85,0.84
paper_llama2_70b,0.81,0.88,0.85
paper_llama2_70b,0.83,0.89,0.86
paper_llama2_70b,0.83,0.83,0.83
paper_llama2_70b,0.84,0.84,0.84
paper_llama2_70b,0.83,0.86,0.84
paper_llama2_70b,0.87,0.84,0.86
paper_llama2_70b,0.81,0.82,0.82
paper_llama2_70b,0.84,0.84,0.84
paper_llama2_70b,0.85,0.87,0.86
paper_llama2_70b,0.86,0.85,0.85
paper_llama2_70b,0.8,0.84,0.82
paper_llama2_70b,0.84,0.85,0.85
paper_llama2_70b,0.83,0.83,0.83
paper_llama2_70b,0.8,0.81,0.8
paper_llama2_70b,0.87,0.85,0.86
paper_llama2_70b,0.86,0.85,0.85
paper_llama2_70b,0.86,0.84,0.85
paper_llama2_70b,0.82,0.84,0.83
paper_llama2_70b,0.86,0.86,0.86
paper_llama2_70b,0.85,0.84,0.84
paper_llama2_70b,0.83,0.84,0.84
paper_llama2_70b,0.81,0.81,0.81
paper_llama2_70b,0.83,0.87,0.85
paper_llama2_70b,0.79,0.83,0.81
paper_llama2_70b,0.85,0.86,0.86
paper_llama2_70b,0.84,0.87,0.85
paper_llama2_70b,0.88,0.87,0.87
paper_llama2_70b,0.81,0.84,0.82
paper_llama2_70b,0.86,0.84,0.85
paper_llama2_70b,0.85,0.86,0.86
paper_llama2_70b,0.8,0.83,0.81
paper_llama2_70b,0.84,0.85,0.84
paper_llama2_70b,0.84,0.88,0.86
paper_llama2_70b,0.84,0.84,0.84
paper_llama2_70b,0.88,0.85,0.87
paper_llama2_70b,0.82,0.79,0.8
paper_llama2_70b,0.85,0.87,0.86
paper_llama2_70b,0.86,0.83,0.85
paper_llama2_70b,0.83,0.83,0.83
paper_llama2_70b,0.83,0.86,0.84
paper_llama2_70b,0.79,0.82,0.81
paper_llama2_70b,0.81,0.84,0.82
paper_llama2_70b,0.85,0.85,0.85
paper_llama2_70b,0.83,0.8,0.81
paper_llama2_70b,0.84,0.84,0.84
paper_llama2_70b,0.83,0.85,0.84
paper_llama2_70b,0.83,0.78,0.81
paper_llama2_70b,0.82,0.81,0.82
paper_llama2_70b,0.83,0.86,0.84
paper_llama2_70b,0.85,0.85,0.85
paper_llama2_70b,0.82,0.86,0.84
paper_llama2_70b,0.84,0.84,0.84
paper_llama2_70b,0.83,0.84,0.84
paper_llama2_70b,0.84,0.84,0.84
paper_llama2_70b,0.87,0.83,0.85
paper_llama2_70b,0.84,0.83,0.83
paper_llama2_70b,0.83,0.84,0.84
paper_llama2_70b,0.82,0.84,0.83
paper_llama2_70b,0.83,0.85,0.84
paper_llama2_70b,0.83,0.83,0.83
paper_llama2_70b,0.85,0.86,0.85
paper_llama2_70b,0.84,0.85,0.84
paper_llama2_70b,0.85,0.82,0.83
paper_llama2_70b,0.85,0.84,0.84
paper_llama2_70b,0.81,0.84,0.83
paper_llama2_70b,0.86,0.87,0.86
paper_llama2_70b,0.84,0.86,0.85
paper_llama2_70b,0.85,0.87,0.86
paper_llama2_70b,0.83,0.85,0.84
paper_llama2_70b,0.86,0.84,0.85
paper_llama2_70b,0.84,0.82,0.83
paper_llama2_70b,0.86,0.85,0.85
paper_llama2_70b,0.83,0.83,0.83
paper_llama2_70b,0.85,0.87,0.86
paper_llama2_70b,0.82,0.86,0.84
paper_llama2_70b,0.83,0.84,0.83
paper_llama2_70b,0.83,0.86,0.84
paper_llama2_70b,0.86,0.88,0.87
paper_llama2_70b,0.85,0.87,0.86
paper_llama2_70b,0.84,0.86,0.85
paper_llama2_70b,0.87,0.85,0.86
paper_llama2_70b,0.82,0.83,0.83
paper_llama2_70b,0.84,0.82,0.83
paper_llama2_70b,0.83,0.87,0.85
paper_llama2_70b,0.88,0.85,0.86
paper_llama2_70b,0.84,0.87,0.86
paper_llama2_70b,0.85,0.86,0.85
paper_llama2_70b,0.87,0.84,0.85
paper_llama2_70b,0.84,0.82,0.83
paper_llama2_70b,0.85,0.84,0.85
paper_llama2_70b,0.85,0.85,0.85
paper_llama2_70b,0.78,0.87,0.82
paper_llama2_70b,0.81,0.86,0.83
paper_llama2_70b,0.88,0.88,0.88
paper_llama2_70b,0.85,0.85,0.85
paper_llama2_70b,0.87,0.87,0.87
paper_llama2_70b,0.83,0.84,0.84
paper_llama2_70b,0.85,0.86,0.85
paper_llama2_70b,0.86,0.85,0.85
paper_llama2_70b,0.81,0.82,0.81
paper_llama2_70b,0.86,0.87,0.86
paper_llama2_70b,0.85,0.84,0.84
paper_llama2_70b,0.85,0.85,0.85
paper_llama2_70b,0.85,0.87,0.86
paper_llama2_70b,0.84,0.86,0.85
paper_llama2_70b,0.85,0.88,0.87
paper_llama2_70b,0.84,0.85,0.84
paper_llama2_70b,0.86,0.83,0.85
paper_llama2_70b,0.86,0.86,0.86
paper_llama2_70b,0.86,0.84,0.85
paper_llama2_70b,0.83,0.83,0.83
paper_llama2_70b,0.84,0.83,0.83
paper_llama2_70b,0.85,0.88,0.86
paper_llama2_70b,0.83,0.82,0.83
paper_llama2_70b,0.85,0.84,0.85
paper_llama2_70b,0.84,0.86,0.85
paper_llama2_70b,0.83,0.8,0.81
paper_llama2_70b,0.85,0.84,0.85
paper_llama2_70b,0.84,0.85,0.85
paper_llama2_70b,0.82,0.89,0.86
paper_llama2_70b,0.81,0.93,0.87
paper_llama2_70b,0.82,0.88,0.85
paper_llama2_70b,0.82,0.83,0.83
paper_llama2_70b,0.85,0.87,0.86
paper_llama2_70b,0.85,0.88,0.86
paper_llama2_70b,0.85,0.83,0.84
paper_llama2_70b,0.79,0.84,0.82
paper_llama2_70b,0.85,0.89,0.87
paper_llama2_70b,0.85,0.84,0.85
paper_llama2_70b,0.84,0.83,0.84
paper_llama2_70b,0.83,0.86,0.85
paper_llama2_70b,0.82,0.84,0.83
paper_llama2_70b,0.84,0.87,0.86
paper_llama2_70b,0.82,0.82,0.82
paper_llama2_70b,0.78,0.82,0.8
paper_llama2_70b,0.82,0.82,0.82
paper_llama2_70b,0.86,0.84,0.85
paper_llama2_70b,0.84,0.87,0.86
paper_llama2_70b,0.81,0.83,0.82
paper_llama2_70b,0.83,0.8,0.81
paper_llama2_70b,0.83,0.79,0.81
paper_llama2_70b,0.84,0.82,0.83
paper_llama2_70b,0.82,0.83,0.82
paper_llama2_70b,0.8,0.82,0.81
paper_llama2_70b,0.85,0.87,0.86
paper_llama2_70b,0.81,0.83,0.82
paper_llama2_70b,0.81,0.83,0.82
paper_llama2_70b,0.83,0.83,0.83
paper_llama2_70b,0.88,0.89,0.89
paper_llama2_70b,0.81,0.85,0.83
paper_llama2_70b,0.83,0.84,0.83
paper_llama2_70b,0.84,0.87,0.86
paper_llama2_70b,0.86,0.83,0.84
paper_llama2_70b,0.83,0.84,0.84
paper_llama2_70b,0.87,0.83,0.85
paper_llama2_70b,0.81,0.82,0.81
paper_llama2_70b,0.84,0.89,0.86
paper_llama2_70b,0.85,0.8,0.82
paper_llama2_70b,0.83,0.83,0.83
paper_llama2_70b,0.84,0.85,0.84
paper_llama2_70b,0.83,0.85,0.84
paper_llama2_70b,0.84,0.85,0.84
paper_llama2_70b,0.84,0.84,0.84
paper_llama2_70b,0.83,0.87,0.85
paper_llama2_70b,0.82,0.83,0.82
paper_llama2_70b,0.85,0.84,0.85
paper_llama2_70b,0.87,0.86,0.86
paper_llama2_70b,0.84,0.87,0.86
paper_llama2_70b,0.83,0.84,0.84
paper_llama2_70b,0.81,0.86,0.84
paper_llama2_70b,0.82,0.85,0.83
paper_llama2_70b,0.85,0.84,0.85
paper_llama2_70b,0.86,0.86,0.86
paper_llama2_70b,0.84,0.84,0.84
paper_llama2_70b,0.86,0.83,0.85
paper_llama2_70b,0.85,0.83,0.84
paper_llama2_70b,0.87,0.84,0.85
paper_llama2_70b,0.84,0.84,0.84
paper_llama2_70b,0.85,0.84,0.85
paper_llama2_70b,0.86,0.86,0.86
paper_llama2_70b,0.84,0.84,0.84
paper_llama2_70b,0.86,0.84,0.85
paper_llama2_70b,0.84,0.86,0.85
paper_llama2_70b,0.85,0.85,0.85
paper_llama2_70b,0.86,0.84,0.85
paper_llama2_70b,0.83,0.83,0.83
paper_llama2_70b,0.82,0.84,0.83
paper_llama2_70b,0.82,0.85,0.84
paper_llama2_70b,0.79,0.89,0.84
paper_llama2_70b,0.87,0.89,0.88
paper_llama2_70b,0.85,0.86,0.86
paper_llama2_70b,0.85,0.81,0.83
paper_llama2_70b,0.85,0.83,0.84
paper_llama2_70b,0.86,0.86,0.86
paper_llama2_70b,0.81,0.81,0.81
paper_llama2_70b,0.91,0.9,0.91
paper_llama2_70b,0.83,0.85,0.84
paper_llama2_70b,0.85,0.86,0.86
paper_llama2_70b,0.84,0.85,0.85
paper_llama2_70b,0.84,0.85,0.84
paper_llama2_70b,0.83,0.83,0.83
paper_llama2_70b,0.84,0.86,0.85
paper_llama2_70b,0.88,0.87,0.87
paper_llama2_70b,0.84,0.89,0.87
paper_llama2_70b,0.85,0.84,0.85
paper_llama2_70b,0.83,0.89,0.86
paper_llama2_70b,0.83,0.82,0.83
paper_llama2_70b,0.84,0.87,0.86
paper_llama2_70b,0.84,0.85,0.85
paper_llama2_70b,0.83,0.86,0.84
paper_llama2_70b,0.84,0.86,0.85
paper_llama2_70b,0.81,0.85,0.83
paper_llama2_70b,0.85,0.84,0.85
paper_llama2_70b,0.86,0.86,0.86
paper_llama2_70b,0.84,0.83,0.83
paper_llama2_70b,0.84,0.84,0.84
paper_llama2_70b,0.85,0.86,0.85
paper_llama2_70b,0.83,0.85,0.84
paper_llama2_70b,0.84,0.85,0.84
paper_llama2_70b,0.82,0.82,0.82
paper_llama2_70b,0.82,0.86,0.84
paper_llama2_70b,0.83,0.85,0.84
paper_llama2_70b,0.85,0.86,0.85
paper_llama2_70b,0.83,0.85,0.84
paper_llama2_70b,0.84,0.87,0.85
paper_llama2_70b,0.83,0.85,0.84
paper_llama2_70b,0.83,0.87,0.85
paper_llama2_70b,0.83,0.86,0.84
paper_llama2_70b,0.86,0.86,0.86
paper_llama2_70b,0.83,0.84,0.84
paper_llama2_70b,0.83,0.87,0.85
paper_llama2_70b,0.86,0.87,0.86
paper_llama2_70b,0.81,0.85,0.83
paper_llama2_70b,0.85,0.86,0.85
paper_llama2_70b,0.79,0.83,0.81
paper_llama2_70b,0.83,0.86,0.85
paper_llama2_70b,0.87,0.85,0.86
paper_llama2_70b,0.87,0.88,0.87
paper_llama2_70b,0.81,0.84,0.83
paper_llama2_70b,0.83,0.84,0.84
paper_llama2_70b,0.84,0.86,0.85
paper_llama2_70b,0.79,0.83,0.81
paper_llama2_70b,0.84,0.82,0.83
paper_llama2_70b,0.88,0.91,0.89
paper_llama2_70b,0.85,0.85,0.85
paper_llama2_70b,0.84,0.86,0.85
paper_llama2_70b,0.84,0.85,0.84
paper_llama2_70b,0.84,0.85,0.85
paper_llama2_70b,0.84,0.87,0.85
paper_llama2_70b,0.87,0.86,0.87
paper_llama2_70b,0.86,0.84,0.85
paper_llama2_70b,0.84,0.87,0.85
paper_llama2_70b,0.82,0.83,0.83
paper_llama2_70b,0.84,0.87,0.85
paper_llama2_70b,0.85,0.87,0.86
paper_llama2_70b,0.84,0.85,0.85
paper_llama2_70b,0.85,0.84,0.84
paper_llama2_70b,0.88,0.88,0.88
paper_llama2_70b,0.81,0.84,0.82
paper_llama2_70b,0.85,0.88,0.86
paper_llama2_70b,0.87,0.86,0.86
paper_llama2_70b,0.83,0.89,0.86
paper_llama2_70b,0.83,0.85,0.84
paper_llama2_70b,0.85,0.83,0.84
paper_llama2_70b,0.87,0.85,0.86
paper_llama2_70b,0.87,0.86,0.86
paper_llama2_70b,0.84,0.86,0.85
paper_llama2_70b,0.84,0.78,0.81
paper_llama2_70b,0.86,0.84,0.85
paper_llama2_70b,0.84,0.82,0.83
paper_llama2_70b,0.86,0.88,0.87
paper_llama2_70b,0.81,0.84,0.82
paper_llama2_70b,0.85,0.85,0.85
paper_llama2_70b,0.86,0.84,0.85
paper_llama2_70b,0.8,0.85,0.82
paper_llama2_70b,0.85,0.87,0.86
paper_llama2_70b,0.83,0.87,0.85
paper_llama2_70b,0.84,0.85,0.84
paper_llama2_70b,0.81,0.86,0.83
paper_llama2_70b,0.85,0.86,0.86
paper_llama2_70b,0.83,0.83,0.83
paper_llama2_70b,0.86,0.89,0.87
paper_llama2_70b,0.85,0.85,0.85
paper_llama2_70b,0.87,0.86,0.86
paper_llama2_70b,0.79,0.85,0.82
paper_llama2_70b,0.86,0.88,0.87
paper_llama2_70b,0.85,0.87,0.86
paper_llama2_70b,0.86,0.85,0.86
paper_llama2_70b,0.81,0.86,0.83
paper_llama2_70b,0.79,0.87,0.83
paper_llama2_70b,0.88,0.88,0.88
paper_llama2_70b,0.78,0.83,0.8
paper_llama2_70b,0.82,0.89,0.85
paper_llama2_70b,0.85,0.84,0.85
paper_llama2_70b,0.84,0.87,0.86
paper_llama2_70b,0.86,0.88,0.87
paper_llama2_70b,0.86,0.85,0.85
paper_llama2_70b,0.79,0.79,0.79
paper_llama2_70b,0.84,0.85,0.84
paper_llama2_70b,0.82,0.85,0.84
paper_llama2_70b,0.82,0.8,0.81
paper_llama2_70b,0.84,0.84,0.84
paper_llama2_70b,0.89,0.86,0.87
paper_llama2_70b,0.82,0.82,0.82
paper_llama2_70b,0.81,0.83,0.82
paper_llama2_70b,0.84,0.8,0.82
paper_llama2_70b,0.82,0.84,0.83
paper_llama2_70b,0.85,0.83,0.84
paper_llama2_70b,0.83,0.84,0.83
paper_llama2_70b,0.86,0.86,0.86
paper_llama2_70b,0.86,0.87,0.86
paper_llama2_70b,0.85,0.83,0.84
paper_llama2_70b,0.83,0.8,0.82
paper_llama2_70b,0.85,0.85,0.85
paper_llama2_70b,0.84,0.84,0.84
paper_llama2_70b,0.83,0.9,0.86
paper_llama2_70b,0.83,0.85,0.84
paper_llama2_70b,0.86,0.83,0.85
paper_llama2_70b,0.82,0.87,0.84
paper_llama2_70b,0.85,0.83,0.84
paper_llama2_70b,0.85,0.83,0.84
paper_llama2_70b,0.86,0.85,0.86
paper_llama2_70b,0.86,0.83,0.84
paper_llama2_70b,0.85,0.86,0.85
paper_llama2_70b,0.86,0.86,0.86
paper_llama2_70b,0.8,0.85,0.83
paper_llama2_70b,0.87,0.88,0.87
paper_llama2_70b,0.84,0.84,0.84
paper_llama2_70b,0.85,0.83,0.84
paper_llama2_70b,0.83,0.84,0.84
paper_llama2_70b,0.89,0.88,0.88
paper_llama2_70b,0.84,0.86,0.85
paper_llama2_70b,0.82,0.82,0.82
paper_llama2_70b,0.86,0.87,0.87
paper_llama2_70b,0.86,0.88,0.87
paper_llama2_70b,0.83,0.85,0.84
paper_llama2_70b,0.81,0.83,0.82
paper_llama2_70b,0.86,0.83,0.85
paper_llama2_70b,0.85,0.83,0.84
paper_llama2_70b,0.81,0.83,0.82
paper_llama2_70b,0.87,0.86,0.87
paper_llama2_70b,0.83,0.84,0.84
paper_llama2_70b,0.86,0.86,0.86
paper_llama2_70b,0.85,0.85,0.85
paper_llama2_70b,0.79,0.84,0.82
paper_llama2_70b,0.85,0.88,0.87
paper_llama2_70b,0.84,0.86,0.85
paper_llama2_70b,0.84,0.87,0.85
paper_llama2_70b,0.85,0.85,0.85
paper_llama2_70b,0.84,0.86,0.85
paper_llama2_70b,0.82,0.86,0.84
paper_llama2_70b,0.83,0.87,0.85
paper_llama2_70b,0.89,0.86,0.88
paper_llama2_70b,0.82,0.82,0.82
paper_llama2_70b,0.86,0.84,0.85
paper_llama2_70b,0.82,0.83,0.83
paper_llama2_70b,0.86,0.86,0.86
paper_llama2_70b,0.86,0.79,0.82
paper_llama2_70b,0.85,0.86,0.85
paper_llama2_70b,0.84,0.87,0.86
paper_llama2_70b,0.84,0.86,0.85
paper_llama2_70b,0.85,0.85,0.85
paper_llama2_70b,0.85,0.84,0.84
paper_llama2_70b,0.84,0.82,0.83
paper_llama2_70b,0.76,0.78,0.77
paper_llama2_70b,0.87,0.87,0.87
paper_llama2_70b,0.85,0.83,0.84
paper_llama2_70b,0.82,0.84,0.83
paper_llama2_70b,0.81,0.85,0.83
paper_llama2_70b,0.84,0.91,0.88
paper_llama2_70b,0.86,0.83,0.85
paper_llama2_70b,0.84,0.86,0.85
paper_llama2_70b,0.85,0.86,0.86
paper_llama2_70b,0.86,0.87,0.86
paper_llama2_70b,0.8,0.84,0.82
paper_llama2_70b,0.83,0.84,0.84
paper_llama2_70b,0.82,0.84,0.83
paper_llama2_70b,0.87,0.86,0.86
paper_llama2_70b,0.84,0.85,0.84
paper_llama2_70b,0.84,0.82,0.83
paper_llama2_70b,0.81,0.86,0.84
paper_llama2_70b,0.83,0.84,0.83
paper_llama2_70b,0.83,0.84,0.84
paper_llama2_70b,0.82,0.81,0.82
paper_llama2_70b,0.83,0.85,0.84
paper_llama2_70b,0.78,0.86,0.82
paper_llama2_70b,0.82,0.84,0.83
paper_llama2_70b,0.88,0.86,0.87
paper_llama2_70b,0.83,0.84,0.83
paper_llama2_70b,0.83,0.87,0.85
paper_llama2_70b,0.81,0.83,0.82
paper_llama2_70b,0.8,0.85,0.82
paper_llama2_70b,0.82,0.83,0.83
paper_llama2_70b,0.82,0.81,0.81
paper_llama2_70b,0.86,0.85,0.85
paper_llama2_70b,0.82,0.81,0.82
paper_llama2_70b,0.85,0.87,0.86
paper_llama2_70b,0.86,0.85,0.85
paper_llama2_70b,0.89,0.86,0.87
paper_llama2_70b,0.87,0.87,0.87
paper_llama2_70b,0.84,0.85,0.85
paper_llama2_70b,0.85,0.87,0.86
paper_llama2_70b,0.86,0.85,0.85
paper_llama2_70b,0.84,0.87,0.85
paper_llama2_70b,0.82,0.84,0.83
paper_llama2_70b,0.85,0.83,0.84
paper_llama2_70b,0.85,0.88,0.86
paper_llama2_70b,0.76,0.82,0.79
paper_llama2_70b,0.86,0.86,0.86
paper_llama2_70b,0.85,0.87,0.86
paper_llama2_70b,0.85,0.85,0.85
paper_llama2_70b,0.85,0.84,0.84
paper_llama2_70b,0.81,0.83,0.82
paper_llama2_70b,0.86,0.85,0.85
paper_llama2_70b,0.81,0.86,0.83
paper_llama2_70b,0.84,0.83,0.84
paper_llama2_70b,0.85,0.87,0.86
paper_llama2_70b,0.85,0.87,0.86
paper_llama2_70b,0.8,0.86,0.83
paper_llama2_70b,0.82,0.85,0.84
paper_llama2_70b,0.85,0.86,0.85
paper_llama2_70b,0.79,0.85,0.82
paper_llama2_70b,0.86,0.84,0.85
paper_llama2_70b,0.82,0.82,0.82
paper_llama2_70b,0.83,0.85,0.84
paper_llama2_70b,0.81,0.83,0.82
paper_llama2_70b,0.84,0.85,0.85
paper_llama2_70b,0.83,0.81,0.82
paper_llama2_70b,0.84,0.85,0.84
paper_llama2_70b,0.85,0.84,0.85
paper_llama2_70b,0.82,0.78,0.8
paper_llama2_70b,0.83,0.82,0.82
paper_llama2_70b,0.83,0.83,0.83
paper_llama2_70b,0.89,0.89,0.89
paper_llama2_70b,0.81,0.84,0.83
paper_llama2_70b,0.79,0.86,0.83
paper_llama2_70b,0.86,0.85,0.85
paper_llama2_70b,0.82,0.83,0.82
paper_llama2_70b,0.83,0.83,0.83
paper_llama2_70b,0.85,0.89,0.87
paper_llama2_70b,0.87,0.84,0.86
paper_llama2_70b,0.84,0.85,0.84
paper_llama2_70b,0.8,0.83,0.82
paper_llama2_70b,0.84,0.81,0.82
paper_llama2_70b,0.85,0.85,0.85
paper_llama2_70b,0.83,0.86,0.84
paper_llama2_70b,0.87,0.85,0.86
paper_llama2_70b,0.81,0.84,0.82
paper_llama2_70b,0.87,0.85,0.86
paper_llama2_70b,0.8,0.81,0.81
paper_llama2_70b,0.85,0.86,0.86
paper_llama2_70b,0.81,0.82,0.81
paper_llama2_70b,0.8,0.83,0.81
paper_llama2_70b,0.85,0.81,0.83
paper_llama2_70b,0.85,0.89,0.87
paper_llama2_70b,0.8,0.84,0.82
paper_llama2_70b,0.82,0.88,0.85
paper_llama2_70b,0.83,0.84,0.84
paper_llama2_70b,0.85,0.84,0.85
paper_llama2_70b,0.83,0.85,0.84
paper_llama2_70b,0.88,0.86,0.87
paper_llama2_70b,0.84,0.88,0.86
paper_llama2_70b,0.87,0.87,0.87
paper_llama2_70b,0.86,0.87,0.86
paper_llama2_70b,0.83,0.84,0.84
paper_llama2_70b,0.85,0.84,0.84
paper_llama2_70b,0.82,0.85,0.83
paper_llama2_70b,0.82,0.87,0.85
paper_llama2_70b,0.83,0.87,0.85
paper_llama2_70b,0.77,0.85,0.81
paper_llama2_70b,0.81,0.89,0.85
paper_llama2_70b,0.87,0.84,0.85
paper_llama2_70b,0.83,0.87,0.85
paper_llama2_70b,0.8,0.84,0.82
paper_llama2_70b,0.86,0.88,0.87
paper_llama2_70b,0.82,0.87,0.85
paper_llama2_70b,0.81,0.83,0.82
paper_llama2_70b,0.78,0.83,0.81
paper_llama2_70b,0.85,0.87,0.86
paper_llama2_70b,0.81,0.86,0.84
paper_llama2_70b,0.86,0.87,0.86
paper_llama2_70b,0.83,0.83,0.83
paper_llama2_70b,0.83,0.85,0.84
paper_llama2_70b,0.85,0.84,0.85
paper_llama2_70b,0.82,0.84,0.83
paper_llama2_70b,0.85,0.88,0.86
paper_llama2_70b,0.85,0.86,0.85
paper_llama2_70b,0.82,0.87,0.85
paper_llama2_70b,0.83,0.84,0.83
paper_llama2_70b,0.78,0.89,0.83
paper_llama2_70b,0.82,0.83,0.83
paper_llama2_70b,0.81,0.83,0.82
paper_llama2_70b,0.85,0.85,0.85
paper_llama2_70b,0.85,0.87,0.86
paper_llama2_70b,0.84,0.83,0.84
paper_llama2_70b,0.8,0.83,0.82
paper_llama2_70b,0.85,0.88,0.86
paper_llama2_70b,0.82,0.86,0.84
paper_llama2_70b,0.79,0.86,0.82
paper_llama2_70b,0.84,0.87,0.85
paper_llama2_70b,0.86,0.86,0.86
paper_llama2_70b,0.86,0.84,0.85
paper_llama2_70b,0.85,0.85,0.85
paper_llama2_70b,0.86,0.87,0.87
paper_llama2_70b,0.85,0.83,0.84
paper_llama2_70b,0.84,0.85,0.84
paper_llama2_70b,0.86,0.85,0.85
paper_llama2_70b,0.87,0.85,0.86
paper_llama2_70b,0.82,0.83,0.83
paper_llama2_70b,0.85,0.87,0.86
paper_llama2_70b,0.8,0.87,0.83
paper_llama2_70b,0.77,0.83,0.8
paper_llama2_70b,0.83,0.85,0.84
paper_llama2_70b,0.83,0.84,0.84
paper_llama2_70b,0.83,0.85,0.84
paper_llama2_70b,0.84,0.86,0.85
paper_llama2_70b,0.83,0.86,0.84
paper_llama2_70b,0.86,0.88,0.87
paper_llama2_70b,0.83,0.83,0.83
paper_llama2_70b,0.84,0.84,0.84
paper_llama2_70b,0.82,0.82,0.82
paper_llama2_70b,0.85,0.91,0.88
paper_llama2_70b,0.81,0.84,0.82
paper_llama2_70b,0.86,0.84,0.85
paper_llama2_70b,0.86,0.83,0.85
paper_llama2_70b,0.83,0.88,0.85
paper_llama2_70b,0.82,0.84,0.83
paper_llama2_70b,0.84,0.86,0.85
paper_llama2_70b,0.82,0.84,0.83
paper_llama2_70b,0.82,0.85,0.84
